pid,total_ads,global_harm_counts,cont_harms_counts,healthcare_harm_counts,global_harm_prop,cont_harm_prop,healthcare_harm_prop
391258,242,5,0,0,0.02066115702479339,0.0,0.0
439460,16,0,1,0,0.0,0.0625,0.0
849164,77,1,4,4,0.012987012987012988,0.05194805194805195,0.05194805194805195
60f3c1b003bbf8263f002824,12,0,0,0,0.0,0.0,0.0
969992,22,0,0,0,0.0,0.0,0.0
5e861812b23b0a22ef59c4ee,78,1,0,0,0.01282051282051282,0.0,0.0
5c4af67cdccaa800016b3192,592,9,2,0,0.015202702702702704,0.0033783783783783786,0.0
597658,200,9,1,0,0.045,0.005,0.0
645222,10,0,0,0,0.0,0.0,0.0
5c315f577626080001a88cb2,411,17,8,3,0.0413625304136253,0.019464720194647202,0.0072992700729927005
805102,384,45,7,6,0.1171875,0.018229166666666668,0.015625
60fec21e36a05990cfa8a715,27,1,0,0,0.037037037037037035,0.0,0.0
5a349be43e523d000194399e,400,10,6,1,0.025,0.015,0.0025
5c80c02f8740a300165833bc,527,5,1,0,0.009487666034155597,0.0018975332068311196,0.0
743067,8,0,0,0,0.0,0.0,0.0
5969496f06679c00014b818e,8,0,0,0,0.0,0.0,0.0
5db1142453bf830017fc744c,562,7,41,0,0.012455516014234875,0.07295373665480427,0.0
606147,400,7,1,1,0.0175,0.0025,0.0025
61035f1b5f1ff6ea263f7270,11,2,0,0,0.18181818181818182,0.0,0.0
60ee4077cdf4f24a1c607783,318,17,6,6,0.05345911949685535,0.018867924528301886,0.018867924528301886
5bdfa18a90edd30001c90bc8,39,1,0,0,0.02564102564102564,0.0,0.0
993453,168,5,2,0,0.02976190476190476,0.011904761904761904,0.0
614254,42,0,0,0,0.0,0.0,0.0
60fd6e6d7b35102b8ca961a5,2,0,0,0,0.0,0.0,0.0
58a2788898124900015923bf,397,2,3,3,0.005037783375314861,0.007556675062972292,0.007556675062972292
6130e3db169db34eb3cde8cc,184,39,0,0,0.21195652173913043,0.0,0.0
588623,400,58,9,2,0.145,0.0225,0.005
230769,21,0,0,0,0.0,0.0,0.0
5e84765c7206730182a6f738,76,2,0,0,0.02631578947368421,0.0,0.0
5bd64b67865c0400011f66d8,4,0,0,0,0.0,0.0,0.0
105905,70,1,2,0,0.014285714285714285,0.02857142857142857,0.0
5ac5207ee1546900019c0279,138,0,0,0,0.0,0.0,0.0
60fee23ceeaadd40cd6b36c0,9,0,0,0,0.0,0.0,0.0
921312,50,0,0,0,0.0,0.0,0.0
340500,57,3,6,0,0.05263157894736842,0.10526315789473684,0.0
218571,17,0,0,0,0.0,0.0,0.0
330316,5,0,0,0,0.0,0.0,0.0
6108678bdc10bef3ef27f7f0,3,0,0,0,0.0,0.0,0.0
5f19f2fc1af38d0bd7d29b13,184,2,4,0,0.010869565217391304,0.021739130434782608,0.0
326424,176,2,3,3,0.011363636363636364,0.017045454545454544,0.017045454545454544
5ed5eb6e89c9b81780219ab6,193,6,3,0,0.031088082901554404,0.015544041450777202,0.0
5c61ab19776b38000156cc95,192,1,0,0,0.005208333333333333,0.0,0.0
825119,200,15,0,0,0.075,0.0,0.0
61623ea92118b60ca97113c7,84,1,0,0,0.011904761904761904,0.0,0.0
577540,28,0,0,0,0.0,0.0,0.0
601387b4aa37e127b0544497,118,6,11,0,0.05084745762711865,0.09322033898305085,0.0
464573,20,0,0,0,0.0,0.0,0.0
6113f2f052d844ee0a4bfe61,10,0,0,0,0.0,0.0,0.0
691142,11,0,0,0,0.0,0.0,0.0
216141,7,0,0,0,0.0,0.0,0.0
5f8f46ff0b55a11953d90aa5,121,4,2,1,0.03305785123966942,0.01652892561983471,0.008264462809917356
5ae5b7e26735bd0001d7dfe3,600,19,10,3,0.03166666666666667,0.016666666666666666,0.005
112193,200,3,1,0,0.015,0.005,0.0
61648bb6ad1eceeee2c056ee,600,8,10,2,0.013333333333333334,0.016666666666666666,0.0033333333333333335
123011,68,0,1,1,0.0,0.014705882352941176,0.014705882352941176
411951,200,3,3,2,0.015,0.015,0.01
250672,339,5,4,3,0.014749262536873156,0.011799410029498525,0.008849557522123894
233362,400,4,1,0,0.01,0.0025,0.0
802434,53,0,1,1,0.0,0.018867924528301886,0.018867924528301886
441420,400,16,2,2,0.04,0.005,0.005
603e370c5ed1c2db2c3bde24,356,6,10,3,0.016853932584269662,0.028089887640449437,0.008426966292134831
6108649840bf2b927ef3905c,62,1,0,0,0.016129032258064516,0.0,0.0
372771,33,7,2,0,0.21212121212121213,0.06060606060606061,0.0
932389,200,8,0,0,0.04,0.0,0.0
636433,366,11,0,0,0.030054644808743168,0.0,0.0
5c8be0dd542fbd0016924f5f,91,3,0,0,0.03296703296703297,0.0,0.0
252479,12,0,0,0,0.0,0.0,0.0
438599,175,2,4,4,0.011428571428571429,0.022857142857142857,0.022857142857142857
889469,25,2,1,0,0.08,0.04,0.0
5e5ab88a43f33029b119a48c,156,3,14,13,0.019230769230769232,0.08974358974358974,0.08333333333333333
707293,2,0,0,0,0.0,0.0,0.0
470998,297,4,0,0,0.013468013468013467,0.0,0.0
277428,200,7,1,0,0.035,0.005,0.0
457573,14,0,0,0,0.0,0.0,0.0
5f786ddd6f28d63e71e631b6,366,11,12,0,0.030054644808743168,0.03278688524590164,0.0
60bd88b8fc436774352f53b9,116,1,1,1,0.008620689655172414,0.008620689655172414,0.008620689655172414
6111ad0842f24784fc58b1dc,18,2,0,0,0.1111111111111111,0.0,0.0
247621,8,0,0,0,0.0,0.0,0.0
504234,200,10,2,1,0.05,0.01,0.005
136228,14,0,0,0,0.0,0.0,0.0
6112cec057db665aefdd7a85,175,6,0,0,0.03428571428571429,0.0,0.0
5cf3115e978d46001924e679,54,3,0,0,0.05555555555555555,0.0,0.0
276221,8,0,0,0,0.0,0.0,0.0
709832,74,1,0,0,0.013513513513513514,0.0,0.0
5f3d6975ef131710ed519c7a,122,0,0,0,0.0,0.0,0.0
6107ae1b4c627841741dd5e8,365,2,9,5,0.005479452054794521,0.024657534246575342,0.0136986301369863
801296,46,1,0,0,0.021739130434782608,0.0,0.0
188466,11,0,0,0,0.0,0.0,0.0
614f4b52dd9b35160ab95af5,232,4,1,0,0.017241379310344827,0.004310344827586207,0.0
606df53de4b0550a5f42fefe,217,3,4,2,0.013824884792626729,0.018433179723502304,0.009216589861751152
614a74f72a6ff823cff820c2,65,1,0,0,0.015384615384615385,0.0,0.0
688310,233,1,0,0,0.004291845493562232,0.0,0.0
 403842,4,0,0,0,0.0,0.0,0.0
673911,10,0,0,0,0.0,0.0,0.0
635392,137,1,0,0,0.0072992700729927005,0.0,0.0
131788,12,0,1,0,0.0,0.08333333333333333,0.0
5bb31a1018b6bb0001bbb0da,117,3,1,0,0.02564102564102564,0.008547008547008548,0.0
140023,200,0,2,2,0.0,0.01,0.01
973148,27,0,0,0,0.0,0.0,0.0
400285,200,5,2,2,0.025,0.01,0.01
60a48adfe091e410f4eaba34,7,0,0,0,0.0,0.0,0.0
192670,167,1,2,1,0.005988023952095809,0.011976047904191617,0.005988023952095809
618827,86,0,0,0,0.0,0.0,0.0
981199,146,18,1,0,0.1232876712328767,0.00684931506849315,0.0
488250,76,0,0,0,0.0,0.0,0.0
164591,8,0,0,0,0.0,0.0,0.0
605504fc7a5a699c16ae8b4d,165,3,0,0,0.01818181818181818,0.0,0.0
100538,200,14,4,1,0.07,0.02,0.005
5f969b802a498b000aab2571,309,1,6,5,0.003236245954692557,0.019417475728155338,0.016181229773462782
638292,6,0,0,0,0.0,0.0,0.0
325548,51,1,2,0,0.0196078431372549,0.0392156862745098,0.0
963386,9,0,0,0,0.0,0.0,0.0
60a69e84d2f871b61d608e89,65,2,0,0,0.03076923076923077,0.0,0.0
978584,200,12,3,1,0.06,0.015,0.005
342703,13,0,1,0,0.0,0.07692307692307693,0.0
363198,200,1,2,2,0.005,0.01,0.01
340465,357,9,1,0,0.025210084033613446,0.0028011204481792717,0.0
628608,4,0,1,0,0.0,0.25,0.0
612e7ef85edba8d26ef96c99,93,3,1,1,0.03225806451612903,0.010752688172043012,0.010752688172043012
137679,1,0,0,0,0.0,0.0,0.0
244734,10,0,0,0,0.0,0.0,0.0
406404,5,0,0,0,0.0,0.0,0.0
748452,200,3,2,2,0.015,0.01,0.01
584349,126,3,2,0,0.023809523809523808,0.015873015873015872,0.0
417360,42,0,0,0,0.0,0.0,0.0
557046,200,7,2,2,0.035,0.01,0.01
61708ee3b2310aed09670031,278,1,1,0,0.0035971223021582736,0.0035971223021582736,0.0
564166,6,0,0,0,0.0,0.0,0.0
5ee256134d95f435aa78964e,325,5,3,3,0.015384615384615385,0.009230769230769232,0.009230769230769232
948872,11,0,0,0,0.0,0.0,0.0
704314,8,1,0,0,0.125,0.0,0.0
6108767c9bec77d0e42e3c44,8,0,0,0,0.0,0.0,0.0
60e3dea3ffbd0e2a90942794,479,8,8,6,0.016701461377870562,0.016701461377870562,0.012526096033402923
887037,12,0,1,0,0.0,0.08333333333333333,0.0
5fd63cb585f88c4eb1933661,29,0,0,0,0.0,0.0,0.0
5f565c9592080106c6b4d467,222,5,3,0,0.02252252252252252,0.013513513513513514,0.0
139835,14,0,0,0,0.0,0.0,0.0
5a8cb6aaaa46dd00016be788,8,1,0,0,0.125,0.0,0.0
610c42860e3a1a52be2b77da,51,1,0,0,0.0196078431372549,0.0,0.0
611d8aa6ab57a5ddf8025b8e,35,1,0,0,0.02857142857142857,0.0,0.0
5dd40277e08a363e4e006384,148,0,3,1,0.0,0.02027027027027027,0.006756756756756757
606e4eb2a56685e5593304cd,37,0,3,1,0.0,0.08108108108108109,0.02702702702702703
5f50732850c7c600098593df,55,0,0,0,0.0,0.0,0.0
516706,200,6,1,0,0.03,0.005,0.0
480847,71,4,0,0,0.056338028169014086,0.0,0.0
298154,200,10,3,1,0.05,0.015,0.005
5ea3310bf9c4f828f0c909c5,164,4,1,1,0.024390243902439025,0.006097560975609756,0.006097560975609756
5e26b6765952178df2048d52,3,0,0,0,0.0,0.0,0.0
231713,18,0,1,0,0.0,0.05555555555555555,0.0
959537,400,10,2,1,0.025,0.005,0.0025
5bc5356e65cfb8000154bd82,36,0,1,0,0.0,0.027777777777777776,0.0
111226,145,4,3,1,0.027586206896551724,0.020689655172413793,0.006896551724137931
5f3e5e066dfaa70464615447,163,0,0,0,0.0,0.0,0.0
147763,200,4,4,4,0.02,0.02,0.02
5dee72917309b950e5262f3a,222,8,5,1,0.036036036036036036,0.02252252252252252,0.0045045045045045045
525028,347,7,15,10,0.020172910662824207,0.043227665706051875,0.02881844380403458
6102c2bafd71006cf4fcbd67,121,1,0,0,0.008264462809917356,0.0,0.0
899499,45,1,1,1,0.022222222222222223,0.022222222222222223,0.022222222222222223
638390,47,0,2,2,0.0,0.0425531914893617,0.0425531914893617
